tconst	ordering	nconst	category	job	characters
tt0000247	5	nm2156608	director	""	""
tt0000247	6	nm0005690	director	""	""
tt0000247	7	nm0000636	writer	play	""
tt0000247	8	nm0744231	composer	""	""
tt0000247	9	nm6114857	composer	""	""
tt0000248	1	nm0809419	actress	""	"[""Wife""]"
tt0000248	2	nm0808310	actor	""	"[""Husband""]"
tt0000249	1	nm0808310	director	""	""
tt0000250	1	nm0005717	director	""	""
tt0000251	1	nm0177862	director	""	""
tt0000252	1	nm0349785	director	""	""
tt0000253	1	nm0095816	director	""	""
tt0000253	2	nm0666972	producer	producer	""
tt0000254	1	nm0349785	director	""	""
tt0000255	1	nm0349785	director	""	""
tt0000256	1	nm0005658	cinematographer	""	""
tt0000257	1	nm0349785	director	""	""
tt0000258	1	nm0349785	director	""	""
tt0000259	1	nm0349785	director	""	""
tt0000260	1	nm0349785	director	""	""
tt0000261	1	nm0617588	actor	""	"[""The Sleeping Man""]"
tt0000262	1	nm0349785	director	""	""
tt0000264	1	nm0617588	actor	""	"[""L'illusioniste""]"
tt0000265	1	nm0335788	actor	""	"[""Chimmie Hicks""]"
tt0000265	2	nm0035502	cinematographer	""	""
tt0000266	1	nm0035502	cinematographer	""	""
tt0000267	1	nm0349785	director	""	""
tt0000268	1	nm0349785	director	""	""
tt0000269	1	nm0666972	director	""	""
tt0000270	1	nm0349785	director	""	""
tt0000271	1	nm0349785	director	""	""
tt0000272	1	nm0808310	director	""	""
tt0000273	1	nm1040375	actor	""	"[""The Officer""]"
tt0000273	2	nm1894886	actor	""	"[""The Missionary""]"
tt0000273	3	nm1895457	actress	""	"[""The Girl""]"
tt0000273	4	nm0932055	director	""	""
tt0000274	1	nm0349785	director	""	""
tt0000275	1	nm0349785	director	""	""
tt0000276	1	nm0349785	director	""	""
tt0000277	1	nm0349785	director	""	""
tt0000278	1	nm0168621	self	""	"[""Self""]"
tt0000279	1	nm0168621	actor	""	""
tt0000279	2	nm0555522	cinematographer	""	""
tt0000280	1	nm0168621	actor	""	""
tt0000280	2	nm0555522	cinematographer	""	""
tt0000281	1	nm0168621	actor	""	""
tt0000281	2	nm0035502	cinematographer	""	""
tt0000282	1	nm0349785	director	""	""
tt0000283	1	nm0349785	director	""	""
tt0000284	1	nm0349785	director	""	""
tt0000285	1	nm0095816	director	""	""
tt0000285	2	nm0666972	producer	producer	""
tt0000286	1	nm0349785	director	""	""
tt0000287	1	nm0085865	director	""	""
tt0000287	2	nm0807236	director	""	""
tt0000288	1	nm0349785	director	""	""
tt0000289	1	nm0349785	director	""	""
tt0000290	1	nm0349785	director	""	""
tt0000291	1	nm0349785	director	""	""
tt0000292	1	nm0349785	director	""	""
tt0000293	1	nm0349785	director	""	""
tt0000294	1	nm0349785	director	""	""
tt0000295	1	nm0349785	director	""	""
tt0000296	1	nm10501864	actress	""	"[""Dancer""]"
tt0000296	2	nm0349785	director	""	""
tt0000297	1	nm0349785	director	""	""
tt0000298	1	nm0349785	director	""	""
tt0000299	1	nm0349785	director	""	""
tt0000300	1	nm0085865	actor	""	"[""Chalk-Talk Artist""]"
tt0000300	2	nm0807236	producer	producer	""
tt0000301	1	nm0692105	director	""	""
tt0000301	2	nm0324473	writer	play	""
tt0000302	1	nm0349785	director	""	""
tt0000303	1	nm0349785	director	""	""
tt0000304	1	nm2940072	actor	""	"[""Willy - the little grandson""]"
tt0000304	2	nm0808310	director	""	""
tt0000305	1	nm0112631	actress	""	""
tt0000305	2	nm0349785	director	""	""
tt0000306	1	nm0076800	actress	""	"[""Hamlet""]"
tt0000306	2	nm0536252	actor	""	"[""Laertes""]"
tt0000306	3	nm1267013	actress	""	"[""A page""]"
tt0000306	4	nm0561109	director	""	""
tt0000306	5	nm0000636	writer	"play ""Hamlet"""	""
tt0000306	6	nm5670483	producer	producer	""
tt0000307	1	nm0085865	actor	""	"[""Happy Hooligan""]"
tt0000307	2	nm1112850	writer	"comic strip ""Happy Hooligan"""	""
tt0000308	1	nm2940350	actress	""	"[""Little girl""]"
tt0000308	2	nm2940072	actor	""	"[""Little brother""]"
tt0000308	3	nm0808310	director	""	""
tt0000309	1	nm0164281	actress	""	"[""Passenger""]"
tt0000309	2	nm0378408	actor	""	"[""Driver""]"
tt0000310	1	nm0335788	actor	""	"[""Chimmie Hicks""]"
tt0000310	2	nm0151209	actress	""	""
tt0000310	3	nm0035502	cinematographer	""	""
tt0000312	1	nm0349785	director	""	""
tt0000313	1	nm0809419	actress	""	"[""Young woman""]"
tt0000313	2	nm0338379	actor	""	"[""Man""]"
tt0000313	3	nm0808310	director	""	""
tt0000314	1	nm0349785	director	""	""
tt0000315	1	nm0349785	director	""	""
tt0000316	1	nm0349785	director	""	""
tt0000317	1	nm0349785	director	""	""
tt0000318	1	nm13155558	actor	""	""
tt0000318	2	nm0804433	actor	""	"[""Koechin""]"
tt0000318	3	nm0804434	director	""	""
tt0000319	1	nm1272063	actor	""	""
tt0000319	2	nm1272675	actor	""	""
tt0000319	3	nm0793094	director	""	""
tt0000320	1	nm0349785	director	""	""
tt0000321	1	nm0692105	director	""	""
tt0000322	1	nm0005717	director	""	""
tt0000323	1	nm0349785	director	""	""
tt0000324	1	nm0349785	director	""	""
tt0000325	1	nm0112631	actress	""	""
tt0000325	2	nm0349785	director	""	""
tt0000326	1	nm0112631	actress	""	""
tt0000326	2	nm0349785	director	""	""
tt0000327	1	nm0349785	director	""	""
tt0000328	1	nm0349785	director	""	""
tt0000329	1	nm0349785	director	""	""
tt0000330	1	nm0349785	director	""	""
tt0000331	1	nm0349785	director	""	""
tt0000332	1	nm0349785	director	""	""
tt0000333	1	nm0349785	director	""	""
tt0000334	1	nm0349785	director	""	""
tt0000335	1	nm1010955	actress	""	""
tt0000335	2	nm1012612	actor	""	""
tt0000335	3	nm1011210	actor	""	""
tt0000335	4	nm1012621	actor	""	""
tt0000335	5	nm0095714	director	""	""
tt0000335	6	nm0675140	director	""	""
tt0000335	7	nm0675239	actor	""	"[""Lion""]"
tt0000335	8	nm0675260	actor	""	"[""Lion""]"
tt0000336	1	nm0349785	director	""	""
tt0000337	1	nm0525910	producer	producer	""
tt0000338	1	nm0349785	director	""	""
tt0000339	1	nm0349785	director	""	""
tt0000340	1	nm0542567	actor	""	"[""Uncle Josh""]"
tt0000340	2	nm0692105	director	""	""
tt0000341	1	nm0542567	actor	""	"[""Uncle Josh""]"
tt0000341	2	nm0692105	director	""	""
tt0000342	1	nm0349785	director	""	""
tt0000343	1	nm0349785	director	""	""
tt0000344	1	nm0349785	director	""	""
tt0000345	1	nm0349785	director	""	""
tt0000346	1	nm0692105	director	""	""
tt0000347	1	nm0168621	actor	""	""
tt0000347	2	nm0035502	cinematographer	""	""
tt0000348	1	nm0349785	director	""	""
tt0000349	1	nm0095816	director	""	""
tt0000349	2	nm0666972	producer	producer	""
tt0000350	1	nm0666972	director	""	""
tt0000351	1	nm0462306	actress	""	""
tt0000351	2	nm0815907	actress	""	""
tt0000351	3	nm0349785	director	""	""
tt0000352	1	nm0692105	director	""	""
tt0000353	1	nm0692105	director	""	""
tt0000354	1	nm0182052	director	""	""
tt0000355	1	nm0932055	director	""	""
tt0000356	1	nm0349785	director	""	""
tt0000357	1	nm0095816	director	""	""
tt0000357	2	nm0666972	producer	producer	""
tt0000358	1	nm0509806	actor	""	""
tt0000358	2	nm1778194	actor	""	""
tt0000358	3	nm0954087	actor	""	""
tt0000359	1	nm0617588	actor	""	"[""The Chemist"",""The India Rubber Head""]"
tt0000360	1	nm0462306	actress	""	"[""La Grisette""]"
tt0000360	2	nm0815907	actress	""	"[""Le Hussard""]"
tt0000360	3	nm0349785	director	""	""
tt0000361	1	nm0349785	director	""	""
tt0000362	1	nm0349785	director	""	""
tt0000363	1	nm0095816	director	""	""
tt0000363	2	nm0666972	producer	producer	""
tt0000364	1	nm0692105	director	""	""
tt0000364	2	nm0924920	cinematographer	""	""
tt0000365	1	nm0182052	director	""	""
tt0000366	1	nm0182052	director	""	""
tt0000367	1	nm0349785	director	""	""
tt0000368	1	nm1089829	actress	""	"[""Little Red Riding Hood""]"
tt0000368	2	nm0617588	director	""	""
tt0000368	3	nm0674518	writer	"story ""Le petit chaperon rouge"""	""
tt0000369	1	nm0005717	director	""	""
tt0000370	1	nm8709803	actor	""	"[""Ebenezer Scrooge""]"
