nconst	primaryName	birthYear	deathYear
nm0255420	William Elmer	1869	1945
nm0255822	Sven Elvestad	1884	1934
nm0255827	June Elvidge	1893	1965
nm0255922	Gilbert Ely	1858	1920
nm0256191	Charles Emerson	""	""
nm0256221	John Emerson	1874	1956
nm0256352	Thomas V. Emory	1883	1921
nm0256556	Marion Emmons	1907	1995
nm0256651	Empress Augusta Victoria	1858	1921
nm0257022	Carl Engdahl	1864	1939
nm0257385	Harry Engholm	1874	1953
nm0257406	Olga Engl	1871	1946
nm0257574	Arvid Englind	1882	1972
nm0257617	Fred English	""	""
nm0257788	Frans Engström	1873	1940
nm0257828	Vicente Enhart	""	""
nm0257866	Adolphe d'Ennery	1811	1899
nm0257897	Patrick Ennis	""	""
nm0258197	Harold Entwistle	1865	1944
nm0258630	Ludwig G.B. Erb	1875	1958
nm0258697	Emile Erckmann	1822	1899
nm0258951	Fred Eric	1874	1935
nm0259235	Adam Eriksen	""	""
nm0259815	Lea Errol	""	""
nm0259860	Margery Bonney Erskine	1864	1949
nm0260089	Line Eshrard	""	""
nm0260391	Paul Escoffier	1875	1941
nm0260523	Pilar Escuer	""	""
nm0260723	Elsie Esmond	1880	1958
nm0260724	Frank Esmond	""	""
nm0260771	Juan Espantaleón	1885	1966
nm0260952	Espinosa	""	""
nm0261455	Howard Estabrook	1884	1978
nm0261789	Antonia Estrada	""	""
nm0261907	Estrens	""	""
nm0261981	Ferenc Eszterházy gróf	1896	1939
nm0262080	Alphonse Ethier	1874	1943
nm0262132	Carit Etlar	1816	1900
nm0262757	Frank Evans	1849	1934
nm0262763	Fred Evans	1889	1951
nm0262902	Joe Evans	1891	1967
nm0263075	Millicent Evans	""	""
nm0263564	Reginald Everett	""	""
nm0263632	Arthur Evers	1879	""
nm0263716	Paul Everton	1868	1948
nm0263912	Hanns Heinz Ewers	1871	1943
nm0264279	Harry B. Eytinge	1862	1928
nm0264286	Bessie Eyton	1890	1965
nm0264327	Lau Ezerman	1892	1940
nm0264569	Kate Fabian	1870	1929
nm0264647	William Fables	1875	""
nm0264710	Fabienne Fabrèges	1889	""
nm0265023	James B. Fagan	1873	1933
nm0265289	Milton J. Fahrney	1872	1941
nm0265479	Madeline Fairbanks	1900	1989
nm0265480	Marion Fairbanks	1900	1973
nm0265579	Virginia Fairfax	""	""
nm0265714	Geoffrey Faithfull	1893	1979
nm0265890	August Falck	1882	1938
nm0266080	Ugo Falena	1875	1931
nm0266183	Norbert Falk	1872	1932
nm0266254	Julius Falkenstein	1879	1933
nm0266714	Dorothy Fane	1889	1976
nm0266933	Richard Fantl	1903	1961
nm0267638	Dot Farley	1881	1971
nm0267912	William Farnum	1876	1953
nm0267914	Dustin Farnum	1874	1929
nm0267916	Franklyn Farnum	1878	1961
nm0267922	Marshall Farnum	1879	1917
nm0268125	Geraldine Farrar	1882	1967
nm0268232	Howard Farrell	""	""
nm0268422	Adele Farrington	1867	1936
nm0268437	Frank Farrington	1873	1924
nm0268447	Reenie Farrington	1897	1956
nm0268495	Nellie Farron	""	""
nm0268559	Claude Farrère	1876	1957
nm0268732	Max Fassbender	1868	""
nm0269265	Martin Faust	1886	1943
nm0269493	George Fawcett	1860	1939
nm0269572	Hugh Fay	1882	1926
nm0269582	Joseph C. Fay	""	""
nm0269771	Louise Fazenda	1895	1962
nm0269863	Maude Fealy	1883	1971
nm0269897	Jane Fearnley	1880	1952
nm0270007	Charles Fechter	1824	1879
nm0270261	Sári Fedák	1879	1955
nm0270290	Charles E. 'Bunny' Feehan	1870	""
nm0270291	Frank Feehan	""	""
nm0270415	Friedrich Feher	1889	1950
nm0270485	Gyula Fehér	1879	1965
nm0270858	László Fekete	1889	1947
nm0271357	Josep Feliú i Codina	1845	1893
nm0271659	William Felton	1850	1921
nm0271668	Paul L. Feltus	1889	1971
nm0271679	Mathilde Felumb Friis	1871	1945
nm0272064	Mark Fenton	1866	1925
nm0272340	Helen Fergus	""	""
nm0272889	Nascimento Fernandes	1881	1955
nm0273205	Adelardo Fernández Arias	""	""
nm0273338	Carlos Fernández Shaw	1865	1911
nm0273943	Jules Ferrar	""	""
nm0274368	Lino Ferreira	1884	1939
nm0275421	Louis Feuillade	1873	1925
nm0275670	Erwin Fichtner	""	""
nm0275941	George Field	1877	1925
nm0275943	Gladys Field	1889	1920
nm0276160	Miss Fielding	""	""
nm0276165	Romaine Fielding	1868	1927
nm0276300	Lew Fields	1867	1941
nm0276408	Louis Fierce	1852	1926
nm0276501	Shannon Fife	1888	1972
nm0276577	Adolf Figman	""	""
nm0276578	Max Figman	1861	1952
nm0276862	William Fildew	1890	1943
nm0277313	Al W. Filson	1857	1925
nm0277317	Mrs. A.W. Filson	1859	1953
nm0277411	Flora Finch	1867	1940
nm0277534	J. Findlay	""	""
nm0278062	Ned Finley	1870	1920
nm0278321	Antonio Fino	""	""
nm0278792	Harry Fischbeck	1879	1968
nm0278843	Carl Ferdinand Fischer	1889	1957
nm0278956	Hugo Fischer	1881	1941
nm0279038	Margarita Fischer	1886	1975
nm0279188	Ulla Fischerström	1909	1938
nm0279227	W.D. Fischter	""	""
nm0279393	Blanche Fisher	""	""
nm0279404	Bud Fisher	1884	1954
nm0279413	Charles Fisher	""	1914
nm0279475	Edna Fisher	1891	1978
nm0279508	George Fisher	1891	1960
nm0279530	Harry Fisher	1868	1923
nm0279656	Maggie Fisher	1854	1938
nm0279957	Minnie Maddern Fiske	1865	1932
nm0280003	Clyde Fitch	1865	1909
nm0280201	Cissy Fitzgerald	1873	1941
nm0280261	James A. Fitzgerald	1880	1949
nm0280432	Lewin Fitzhamon	1869	1961
nm0280463	George Fitzmaurice	1885	1940
nm0280615	Bob Fitzsimmons	1863	1917
nm0280628	John A. Fitzsimmons	""	""
nm0280746	Solborg Fjeldsøe Rasmussen	""	""
nm0280841	James Montgomery Flagg	1877	1960
nm0281016	D.J. Flanagan	""	""
nm0281125	B.D. Flanders	""	""
nm0281381	Fred Fleck	1892	1961
nm0281620	Carroll Fleming	1861	1930
nm0281621	Caryl S. Fleming	1890	1940
nm0281808	Victor Fleming	1889	1949
nm0282040	John Fletcher	1579	1625
nm0282252	Anne Crawford Flexner	1874	1955
nm0282348	Hugo Flink	1879	1947
nm0282367	G. Flinn	""	""
nm0282529	Paul Flon	1898	1981
nm0282653	Florelle	1898	1974
nm0282725	Flores	""	""
nm0283327	Edna Flugrath	1892	1966
nm0283393	Emilie Flygare-Carlén	1807	1892
nm0283444	Emmett J. Flynn	1892	1937
nm0283636	Thomas Flynn	1852	1926
nm0283766	Aladár Fodor	1878	1918
nm0283802	Imre Földes	1881	1958
nm0284137	Florence Foley	""	""
nm0284960	Alfredo Fontanals	1882	""
nm0285202	Courtenay Foote	1878	1925
nm0285242	George Foottit	1864	1921
nm0285280	Friedrich Forberg	""	""
nm0285425	Johnston Forbes-Robertson	1853	1937
nm0285619	Dora Ford	""	""
nm0285627	Eddie Ford	""	""
nm0285643	Francis Ford	1881	1953
nm0285684	Hugh Ford	1868	1952
nm0285751	Lettie Ford	1847	1936
nm0285834	Rae Ford	1885	1925
nm0285837	Ray Ford	""	""
nm0285947	Eugenie Forde	1879	1940
nm0285961	Victoria Forde	1896	1964
nm0286002	Virginia Fordyce	1911	1995
nm0286042	Grant Foreman	""	""
nm0286189	Louis Forestier	1892	1954
nm0286346	Harry Forsman	1867	1933
nm0286379	Tom Forman	1893	1926
nm0286408	Karl Formes	1841	1939
nm0286594	Allan Forrest	1885	1941
nm0286788	Edwin Forsberg	1872	1947
nm0287085	Blanche Forsythe	1872	1953
nm0287097	Hattie Forsythe	""	""
nm0287628	Paul Fosse	1885	1959
nm0287792	Edna Foster	1900	""
nm0287801	Fern Foster	1885	1949
nm0287854	J. Morris Foster	1881	1966
nm0288119	William C. Foster	1880	1923
nm0288616	Frank Powell	1877	""
nm0288704	Evelyn Fowler	""	""
nm0288778	Norman Fowler	""	""
nm0288971	Edward Lyell Fox	""	""
nm0289073	John Fox Jr.	1862	1919
nm0289301	William Fox	1879	1952
nm0289317	Earle Foxe	1887	1973
nm0289613	Harry Fragson	1869	1913
nm0289722	C.A. Frambers	""	""
nm0289787	Anatole France	1844	1924
nm0289797	Charles H. France	1869	1940
nm0290066	Alec B. Francis	1867	1934
nm0290176	Helen Francis	""	""
nm0290260	Evelyn Francis	""	""
nm0290445	Paul Franck	1870	1947
nm0290767	Billy Franey	1889	1940
nm0290822	Alexander F. Frank	1866	1939
nm0290962	J. Herbert Frank	1885	1926
nm0291274	Julius Frankenburg	""	""
nm0291387	Chester M. Franklin	1890	1954
nm0291877	Nell Franzen	1889	1973
nm0292407	Fraunie Fraunholz	1876	1938
nm0292418	Jack Frawley	""	""
nm0292433	William Frawley	1887	1966
nm0292453	Frank Frayne	1863	1938
nm0292470	Edwin Frazee	1881	""
nm0292503	Elizabeth Frazer	""	""
nm0292537	Robert Frazer	1891	1944
nm0292810	Pauline Frederick	1883	1938
nm0292827	Frederic Arnold Kummer	1873	1943
nm0292908	Philippa Frederiksen	1870	1955
nm0293415	Helen Freeman	1886	1960
nm0294022	Elvira Fremont	""	""
nm0294045	Bert French	1883	1924
nm0294056	Caroline French	""	""
nm0294058	Charles K. French	1860	1952
nm0294090	Georgia French	1911	1994
nm0294268	Theo Frenkel Jr.	1893	1955
nm0294276	Theo Frenkel	1871	1956
nm0295457	Berta Friedrichová	1892	1975
nm0295843	Axel Frische	1877	1956
nm0295961	Victor Frith	1888	""
nm0296083	Johanne Fritz-Petersen	1879	1961
nm0296178	Else Frölich	1880	1960
nm0296193	Carl Froelich	1875	1953
nm0296245	Daniel Frohman	1851	1940
nm0296344	Maria Fromet	1902	1967
nm0296433	Albert Froom	1866	1940
nm0296703	Arrigo Frusta	1875	1965
nm0297039	Einar Fröberg	1875	1934
nm0297269	Oskar Fuchs	1866	1927
nm0297368	Francisco Fuentes hijo	""	""
nm0297416	Francisco Fuentes	""	""
nm0298080	Ludwig Fulda	1862	1939
nm0298291	Loie Fuller	1862	1928
nm0298300	Martin Fuller	""	""
nm0298301	Mary Fuller	1888	1973
nm0298513	Valentine Fulton	""	""
nm0298614	Tronier Funder	1884	1964
nm0298854	Barney Furey	1882	1938
nm0299052	Grace Livingston Furniss	1864	1938
nm0299053	Harry Furniss	1854	1925
nm0299154	Jules Furthman	1888	1966
nm0299421	Jacques Futrelle	1875	1912
nm0299674	Maurice de Féraudy	1859	1932
nm0299757	Aage Fønss	1887	1976
nm0299761	Olaf Fønss	1882	1949
nm0300444	Conchita Gach	""	""
nm0300487	Urban Gad	1879	1947
nm0300561	Alexander Gaden	1873	1958
nm0300837	Robert Gage	""	""
nm0301187	Jane Gail	1889	1963
nm0301252	Robert Gaillard	1868	1941
nm0301787	Avelino Galcerán	""	""
nm0301888	Minna Gale	1869	1944
nm0301961	Henrik Galeen	1881	1949
nm0302025	Leonard Galezio	1891	1965
nm0302368	Donald Gallaher	1895	1961
nm0302477	Ray Gallagher	1885	1953
nm0302647	Señor Gallart	""	""
nm0302661	Alberta Gallatin	1861	1948
nm0303023	El Gallo	""	""
nm0303066	Mario Gallo	1878	1945
nm0303120	Carmine Gallone	1885	1973
nm0303780	Fred Gamble	1868	1939
nm0304098	Abel Gance	1889	1981
nm0304183	Alfred Gandolfi	1882	1963
nm0304236	Nolan Gane	1892	1915
nm0304862	Ferruccio Garavaglia	1868	1912
nm0305087	Al Ernest Garcia	1887	1938
nm0305591	Angel García Cardona	""	""
nm0305683	Antonio García Gutiérrez	""	""
nm0306604	Aage Garde	1876	1955
nm0306723	Vladimir Gardin	1877	1965
nm0306817	Albert Gardner	""	""
nm0306837	Bert Gardner	""	""
nm0306875	Cyril Gardner	1898	1942
nm0306947	Helen Gardner	1884	1968
nm0307036	Louis B. Gardner	""	""
nm0307038	M.B. Gardner	""	""
nm0307693	Clyde Garner	""	""
nm0307872	Robert-Jules Garnier	1883	1958
nm0308257	Richard Garrick	1878	1962
nm0308551	Claude Garry	1877	1918
nm0308848	William Garwood	1884	1950
nm0309130	Charles L. Gaskill	1870	1943
nm0309149	Elizabeth Gaskins	""	""
nm0309163	Louis J. Gasnier	1875	1963
nm0309186	José Gaspar	""	""
nm0309460	Mae Gaston	1885	1962
nm0309557	Eleanor Gates	1875	1951
nm0309567	Harvey Gates	1889	1948
nm0309974	Tony Gaudio	1883	1951
nm0310155	Gene Gauntier	1885	1966
nm0310375	Théophile Gautier	1811	1872
nm0310844	Howard Gaye	1878	1955
nm0311375	George Gebhardt	1879	1919
nm0312146	Hortensia Gelabert	""	""
nm0312148	José María Gelabert	""	""
nm0312600	Robert Gemp	1864	1932
nm0313043	Jorge Gentil	""	""
nm0313055	Annie Gentile	""	""
nm0313532	Maude George	1888	1963
nm0313993	Rosemonde Gerard	1866	1953
nm0314025	Alicia Gerart	""	""
nm0314138	Neva Gerber	1891	1974
nm0314521	Edward German	1862	1936
nm0314567	Mariya Germanova	1884	1940
nm0314700	Douglas Gerrard	1891	1950
nm0314765	Baby Marie Gereghty	1910	""
nm0314898	Harry W. Gerstad	1886	1966
nm0315793	Alberto Ghira	1888	1971
nm0316220	Joseph Giampietro	1866	1913
nm0316269	Olga Giannini Novelli	1867	""
nm0316595	Rose Gibbons	1880	1964
nm0316728	Robert Paton Gibbs	1860	1941
nm0316794	Charles Giblyn	1871	1934
nm0316890	Charles Dana Gibson	1867	1944
nm0316947	Dorothy Gibson	1889	1946
nm0316958	Ethelyn Gibson	1897	1972
nm0316960	Florence Gibson	1870	1953
nm0316987	Hardy Gibson	""	""
nm0316989	Harry Gibson	""	""
nm0316993	Helen Gibson	1892	1977
nm0316995	Hoot Gibson	1892	1962
nm0317098	Patricia Palmer	1894	1964
nm0317210	W.A. Gibson	1870	1929
nm0317319	Al Giebler	1872	1950
nm0317505	Ada Gifford	1885	""
nm0317715	Antonio Gil Varela 'Varillas'	1895	1937
nm0318149	Lewis Gilbert	1862	1925
nm0318274	Billy Gilbert	1891	1961
nm0318306	Harry Gilbey	""	""
nm0318397	Johan Gildemeijer	1871	1945
nm0318516	Daniel Gilfether	1849	1919
nm0318560	Charles Gilhuys	1881	1955
nm0318730	Robert Stowe Gill	1880	1918
nm0318928	Edward Gillespie	1874	1918
nm0319067	Thomas Gillette	""	""
nm0319358	Rufus Gillmore	""	""
nm0319421	Ada Gilman	1854	1921
nm0319483	Pauline Gilmer	1899	1993
nm0319498	Barney Gilmore	1865	1949
nm0319532	Helen Gilmore	1872	1936
nm0319564	Paul Gilmore	1873	1962
nm0319713	William Gilson	""	""
nm0320618	Pedro Giralt y Alemany	""	""
nm0320681	Joseph W. Girard	1871	1949
nm0320761	Etienne Girardot	1856	1939
nm0320817	Edouard Giraudier	""	""
nm0321088	Dorothy Gish	1898	1968
nm0321652	Ottar Gladvedt	1890	1962
nm0321653	Solveig Gladvedt	""	""
nm0322096	Marc Glassman	""	""
nm0322170	Louise Glaum	1888	1970
nm0322284	Adda Gleason	1888	1971
nm0322485	Harry Gleizer	""	""
nm0322843	Rochus Gliese	1891	1978
nm0323256	Samuel M. Gluckstein	""	""
nm0323325	Elinor Glyn	1864	1943
nm0323379	Agnes Glynne	1894	1981
nm0323571	David W. Gobbett	1884	""
nm0323766	Charles W. Goddard	1879	1951
nm0324073	Nicolas Godin	1969	""
nm0324317	Fred Goebel	1891	1964
nm0324438	R. Henry Grey	1891	1934
nm0324473	Johann Wolfgang von Goethe	1749	1832
nm0324500	Ben Goetz	1891	1979
nm0324501	Carl Goetz	1862	1932
nm0324690	Nikolay Gogol	1809	1852
nm0324776	Henri Goidsen	""	""
nm0325448	Joseph A. Golden	""	1942
nm0325670	Sidney M. Goldin	1878	1937
nm0326117	Oliver Goldsmith	1730	1774
nm0326235	Jennie Goldstein	1895	1960
nm0326341	Zina Goldsztejn	""	""
nm0326378	John Goldsworthy	1884	1958
nm0327201	Vasili Goncharov	1861	1915
nm0327206	Aleksandra Goncharova	1888	1969
nm0327494	Isabel Gonzales	""	""
nm0327762	Myrtle Gonzalez	1891	1918
nm0327955	Félix González Llana	""	""
nm0328322	Manuel González	""	""
nm0328341	Marina González	""	""
nm0328757	Grace Goodall	1889	1940
nm0328760	Jack Goodall	""	""
nm0328782	Joe Goodboy	""	""
nm0329035	Coley Goodman	1881	1938
nm0329039	Daniel Carson Goodman	1881	1957
nm0329093	Henrietta Goodman	""	""
nm0329136	Jules Eckert Goodman	1876	1962
nm0329167	Ludloe Goodman	""	""
nm0329212	Robert Goodman	""	""
nm0329303	Edna Goodrich	1883	1971
nm0329395	Greta Goodstadt	""	""
nm0329522	Nat C. Goodwin	1857	1919
nm0329573	Fred Goodwins	1891	1923
nm0329822	Georges Gorby	1862	1948
nm0329924	Jacob Gordin	1853	1909
nm0330242	Harris Gordon	1884	1947
nm0330273	Jack Gordon	1904	1974
nm0330280	James Gordon	1871	1941
nm0330352	Julia Swayne Gordon	1878	1933
nm0330384	Lawrence Gordon	""	""
nm0330442	Maude Turner Gordon	1868	1940
nm0330526	Phyllis Gordon	1889	1964
nm0330637	Thomas Gordon	""	""
nm0331049	Charles Gorman	1865	1928
nm0331084	John Gorman	1884	1936
nm0331555	Charles Frederick Goss	""	""
nm0332024	John Gottowt	1881	1942
nm0332028	Ellen Gottschalch	1894	1981
nm0332045	Louis F. Gottschalk	1864	1934
nm0332181	Gouget	""	""
nm0332182	Henri Gouget	""	""
nm0332217	John Gough	1894	1968
nm0332454	Milton S. Gould	""	""
nm0333175	Axel Graatkjær	1885	1969
nm0333598	Henry Grady	""	""
nm0333862	Louise Graganza	""	""
nm0333924	Ben Graham	1851	1924
nm0334788	Suzanne Grandais	1893	1920
nm0334873	Ethel Grandin	1894	1988
nm0334899	Madeleine Grandjean	""	""
nm0334918	Francis J. Grandon	1879	1929
nm0335321	Corinne Grant	1884	1970
nm0335584	Nellie Grant	""	""
nm0335752	Fred LeRoy Granville	1886	1932
nm0335788	Charley Grapewin	1869	1956
nm0336025	Stephen Grattan	1870	1930
nm0336380	Fernand Gravey	1905	1970
nm0336414	Gabriel de Gravone	1887	1972
nm0336471	Betty Gray	1895	1919
nm0336818	Mary Gray	""	""
nm0336824	Maxwell Gray	1846	1923
nm0336910	Robert Gray	1881	1963
nm0337010	William B. Gray	""	""
nm0337033	Joseph Graybill	1887	1913
nm0337083	Donald Grayson	1908	1958
nm0337556	Evelyn Greeley	1888	1975
nm0337586	Alfred E. Green	1889	1960
nm0337801	Dorothy Green	1892	1963
nm0338028	Judd Green	1857	1932
nm0338379	Tom Green	1852	1942
nm0338465	Josef Greenbaum	""	""
nm0338466	Jules Greenbaum	1867	1924
nm0338708	Clay M. Greene	1850	1933
nm0338824	Kempton Greene	1889	1939
nm0338850	Mabel Greene	1886	1916
nm0338906	Robert Greene	""	""
nm0339379	Reeva Greenwood	""	1972
nm0339408	Winifred Greenwood	1885	1961
nm0339499	Elsie Greeson	1895	1995
nm0339765	Carl Gregory	1882	1951
nm0339808	Fannie Gregory	""	""
nm0339901	Mildred Gregory	1895	1956
nm0339974	Zoe Gregory	""	""
nm0340020	René Gréhan	""	""
nm0340045	Frida Greiff	1884	1959
nm0340540	Clifford Grey	1887	1941
nm0340584	Hetty Grey	""	""
nm0340593	Jane Grey	1883	1944
nm0340651	Olga Grey	1896	1973
nm0340657	Phyllis Grey	1887	1922
nm0340664	Rebe Grey	""	""
nm0340719	Zane Grey	1872	1939
nm0340807	Harry Gribbon	1885	1961
nm0341185	Frank Griffin	1886	1953
nm0341442	Beverly Griffith	1887	1970
nm0341503	Gordon Griffith	1907	1958
nm0341512	Harry Griffith	1866	1926
nm0341554	Katherine Griffith	1876	1921
nm0342109	Domenico Grimaldi	""	""
nm0342278	Jacob Grimm	1785	1863
nm0342303	Wilhelm Grimm	1786	1859
nm0342510	Harry Gripp	1889	1953
nm0342541	Antonio Grisanti	1859	1914
nm0342563	Louis R. Grisel	1849	1928
nm0342658	James Griswold	1882	1935
nm0343043	Andrey Gromov	1887	1922
nm0344029	Leonard Grover	1858	1947
nm0344059	Fred Groves	1880	1955
nm0344930	Jacques Grétillat	1885	1950
nm0344981	Georg Grönroos	1885	1927
nm0345217	Adrià Gual	1872	1946
nm0345500	Enrico Guazzoni	1876	1949
nm0346090	Señora Guerra	""	""
nm0346225	María Guerrero	1867	1928
nm0346387	Arthur Guest	1857	1937
nm0346652	Guibernat	""	""
nm0346808	Paul Guidé	1884	1940
nm0346933	Luis Guilemany	""	""
nm0347058	Marcel Guillemaud	1867	1924
nm0347320	Àngel Guimerà	1847	1924
nm0347532	Wyndham Guise	1859	1934
nm0347565	Enrique Guitart padre	""	""
nm0347566	Enrique Guitart	1909	1999
nm0347571	Trini Guitart	""	""
nm0348052	Aagot Gundersen	""	""
nm0348062	Jens Christian Gundersen	1868	1945
nm0348348	Archibald Clavering Gunter	1847	1907
nm0348701	Val Gurney	1889	1930
nm0349492	Eliseo Gutiérrez	1885	1929
nm0349785	Alice Guy	1873	1968
nm0349907	Cécile Guyon	1890	1927
nm0350376	Dorothy Gwynne	""	""
nm0350514	Gyp	1850	1932
nm0350628	Fernando Gálvez	1876	""
nm0350695	Adolf Gärtner	1867	1958
nm0350759	Firmin Gémier	1869	1933
nm0350802	Marc Gérard	""	""
nm0351275	Valentín Gómez	""	""
nm0351331	Sándor Góth	1869	1946
nm0351333	Gyula Gózon	1885	1972
nm0352120	Andrea Habay	1883	1941
nm0352399	Gertrud Hackelberg	""	""
nm0352443	Albert Hackett	1900	1995
nm0352454	Florence Hackett	1880	1954
nm0352461	James K. Hackett	1869	1926
nm0352463	Jeanette Hackett	1898	1979
nm0352495	Raymond Hackett	1902	1958
nm0352726	William F. Haddock	1877	1969
nm0352805	Hilde Hadges	""	""
nm0352873	Bert Hadley	1882	1968
nm0352913	Raymond Hadley	""	""
nm0353575	Walter Haggar	1880	1953
nm0353576	William Haggar	1851	1925
nm0353584	H. Rider Haggard	1856	1925
nm0353770	Justus Hagman	1859	1936
nm0353774	Mia Hagman	1863	1948
nm0353775	Paul Hagman	1887	1964
nm0353855	Eugene H. Hagy	""	""
nm0353956	Philip Hahn	1884	1976
nm0354282	Rhea Haines	1894	1964
nm0354726	Louis Halberstadt	1880	1961
nm0354790	Bert Haldane	1867	1937
nm0354803	Edith Haldeman	1905	1984
nm0354812	Hans Halder	1888	1973
nm0354845	Albert W. Hale	1882	1947
nm0354872	Charles H. Hale	""	""
nm0354878	Creighton Hale	1889	1965
nm0354925	J.S. Hale	""	""
nm0355030	Walter Hale	1869	1917
nm0355111	Merton Haley	""	""
nm0355510	Donald Hall	1867	1948
nm0355550	Ella Hall	1897	1981
nm0355555	Emmett C. Hall	1882	1956
nm0355582	Franklyn Hall	1886	""
nm0355641	Helen Hall	""	""
nm0355662	J. Robinson Hall	1891	""
nm0355818	Laura Nelson Hall	1876	1936
nm0355833	Lindsay J. Hall	1863	1937
nm0355893	Mayre Hall	1895	""
nm0356267	Henry Hallam	1867	1921
nm0356337	Märta Halldén	1884	1932
nm0356439	Edith Halleran	1893	""
nm0356706	Edith Hallor	1896	1971
nm0357028	Forrest Halsey	1877	1949
nm0357219	Harry Ham	1886	1943
nm0357530	Edna Hammel	1901	1964
nm0357590	Fred Hamer	1873	1953
nm0357795	Cosmo Hamilton	1870	1942
nm0357872	Gilbert P. Hamilton	1890	1962
nm0357890	Gustave Hamilton	1871	1951
nm0357966	John Hamilton	""	""
nm0358011	Laura Hamilton	""	""
nm0358020	Lloyd Hamilton	1891	1935
nm0358164	Shorty Hamilton	1879	1925
nm0358349	Joë Hamman	1883	1974
nm0358458	Ina Hammer	1866	1953
nm0358572	Stella Hammerstein	1882	1975
nm0358616	Lucille Hammill	1902	1939
nm0358657	Charles Hammond	1878	1941
nm0358677	Dorothy Hammond	1876	1950
nm0358721	Kathleen Hammond	""	""
nm0358914	Genevieve Hamper	1888	1971
nm0359687	Harry Handworth	1878	1916
nm0359688	Octavia Handworth	1887	1978
nm0359823	Ray Hanford	1887	1939
nm0359975	Arthur Preston Hankins	""	""
nm0360114	William J. Hanley	""	""
nm0360123	George Hanlon Jr.	""	""
nm0360187	Audrey Hanna	1907	1990
nm0360203	Franklyn Hanna	1875	1931
nm0360373	M.E. Hannefy	""	""
nm0360514	Henry Kotani	1887	1972
nm0360617	Howell Hansel	1871	1917
nm0360733	Clays Hansen	""	""
nm0360908	Juanita Hansen	1895	1961
nm0361270	Gladys Hanson	1883	1973
nm0361343	Olaf Hanson	""	""
nm0361518	Emmerich Hanus	1884	1956
nm0361859	Mici Haraszti	1882	1964
nm0361882	Carl Harbaugh	1886	1960
nm0361989	Ferris Harcourt	""	""
nm0362567	Cedric Hardwicke	1893	1964
nm0362636	Fred Hardy	""	""
nm0362762	Thomas Hardy	1840	1928
nm0362900	D.T. Hargan	""	""
nm0363147	James W. Harkins Jr.	""	""
nm0363227	Otis Harlan	1865	1940
nm0363288	Edwin Harley	1848	1933
nm0363465	Jean Chameroy	""	""
nm0363991	Tommy Harper	""	""
nm0364046	Eliza G. Harral	""	""
nm0364203	William Harrigan	1886	1966
nm0364392	A. Clayton Harris	""	""
nm0364506	Buddy Harris	""	1971
nm0364516	Caroline Harris	1866	1937
nm0364525	Charles Harris	1865	1930
nm0364550	Clarence J. Harris	1873	1941
nm0364757	Harry B. Harris	1880	""
nm0364779	Hugh King Harris	""	""
nm0365121	Mildred Harris	1901	1944
nm0365290	Sadie Harris	1888	1933
nm0365381	Theodosia Harris	1877	1938
nm0365428	Wadsworth Harris	1864	1942
nm0365493	Bertram Harrison	""	""
nm0365626	Henry Sydnor Harrison	1880	1930
nm0365637	James Harrison	1891	1986
nm0365723	Louis Reeves Harrison	1857	1921
nm0365742	Mark Harrison	1864	1952
nm0365774	Mrs. Burton Harrison	""	""
nm0365865	Saul Harrison	1888	1944
nm0365927	W.F. Harrison	""	""
nm0366008	Robert Harron	1893	1920
nm0366078	Zsolt Harsányi	1887	1943
nm0366473	Peggy Hart	""	""
nm0366511	Ruth Hart	1886	1952
nm0366585	William E. Hart	""	""
nm0366586	William S. Hart	1864	1946
nm0366609	Betty Harte	1882	1965
nm0366610	Bret Harte	1836	1902
nm0366689	David Hartford	1873	1932
nm0366742	Pat Hartigan	1881	1951
nm0366958	Gretchen Hartman	1897	1979
nm0367362	Will Hartzell	""	""
nm0367363	Juan Eugenio Hartzenbusch	1806	1880
nm0367469	Clarence Harvey	1864	1945
nm0367554	J. Harvey	""	""
nm0367556	Jack Harvey	1881	1954
nm0367705	Rupert Harvey	1887	1954
nm0367858	Harzé	""	""
nm0368434	Karl Hasselmann	1883	1966
nm0368563	Carey L. Hastings	1867	1944
nm0368621	Seymour Hastings	1872	1937
nm0368705	Al Hatch	""	""
nm0368748	Riley Hatch	1862	1925
nm0368875	Jean Hathaway	1876	1938
nm0368933	Philip Hatkin	1885	1923
nm0369058	Raymond Hatton	1887	1971
nm0369148	William Hauber	1891	1929
nm0369285	Ingeborg Hauge	""	""
nm0369458	Gerhart Hauptmann	1862	1946
nm0369839	Maie B. Havey	1889	1971
nm0370271	J.G. Hawks	1874	1940
nm0370337	Ormi Hawley	1889	1942
nm0370426	Nathaniel Hawthorne	1804	1864
nm0370564	Sessue Hayakawa	1886	1973
nm0370746	J. Charles Haydon	1876	1943
nm0371008	Emily Hayes	""	""
nm0371017	Frank Hayes	1871	1923
nm0371979	Joseph Hazelton	1853	1936
nm0372492	Fred Hearn	1871	1923
nm0372818	Eva McKenzie	1889	1967
nm0372991	Alice Hechy	1893	1973
nm0372992	Wilhelm Hechy	""	""
nm0373003	Frederick Heck	1865	1930
nm0373203	Hans Hedemark	1875	1930
nm0373341	Guy Hedlund	1884	1964
nm0373367	Ivan Hedqvist	1880	1935
nm0373614	Thomas N. Heffron	1872	1951
nm0373699	Ferenc Hegedüs	""	""
